Dependent,Independent,Correlation
ComplexContainerComprehension,Stars,0.167839467925802*
ComplexContainerComprehension,Commits,-0.0351291909612144
ComplexContainerComprehension,Lines of Code,0.0663551384822939
ComplexContainerComprehension,Community,0.0278896359580862
ComplexContainerComprehension,Continuous Integration,-0.129608714878021*
ComplexContainerComprehension,Documentation,-0.0383349410090535
ComplexContainerComprehension,History,-0.260224313658314*
ComplexContainerComprehension,Issues,-0.0609923364131861
ComplexContainerComprehension,License,0.274465513859338*
ComplexContainerComprehension,Unit Testing,0
ComplexContainerComprehension,Contributors,0.171979806843945*
ComplexLambdaExpression,Stars,0.183452441686342*
ComplexLambdaExpression,Commits,-0.0351291909612144
ComplexLambdaExpression,Lines of Code,0.0507421647217542
ComplexLambdaExpression,Community,0.0139448179790431
ComplexLambdaExpression,Continuous Integration,-0.129608714878021*
ComplexLambdaExpression,Documentation,-0.0383349410090535
ComplexLambdaExpression,History,-0.248658788606833*
ComplexLambdaExpression,Issues,-0.0304961682065931
ComplexLambdaExpression,License,0.274465513859338*
ComplexLambdaExpression,Unit Testing,0
ComplexLambdaExpression,Contributors,0.154340852295848*
LargeClass,Stars,0.167839467925802*
LargeClass,Commits,-0.0351291909612144
LargeClass,Lines of Code,0.0663551384822939
LargeClass,Community,0.0278896359580862
LargeClass,Continuous Integration,-0.129608714878021*
LargeClass,Documentation,-0.0383349410090535
LargeClass,History,-0.260224313658314*
LargeClass,Issues,-0.0609923364131861
LargeClass,License,0.274465513859338*
LargeClass,Unit Testing,0
LargeClass,Contributors,0.171979806843945*
LongBaseClassList,Stars,0.183452441686342*
LongBaseClassList,Commits,-0.0195162172006747
LongBaseClassList,Lines of Code,0.0819681122428337
LongBaseClassList,Community,0.0139448179790431
LongBaseClassList,Continuous Integration,-0.0991125466714275
LongBaseClassList,Documentation,-0.0383349410090535
LongBaseClassList,History,-0.271789838709795*
LongBaseClassList,Issues,-0.0914885046197792
LongBaseClassList,License,0.274465513859338*
LongBaseClassList,Unit Testing,0.0229816751108897
LongBaseClassList,Contributors,0.154340852295848*
LongMessageChain,Stars,0.167839467925802*
LongMessageChain,Commits,-0.0351291909612144
LongMessageChain,Lines of Code,0.0663551384822939
LongMessageChain,Community,0.0278896359580862
LongMessageChain,Continuous Integration,-0.129608714878021*
LongMessageChain,Documentation,-0.0383349410090535
LongMessageChain,History,-0.260224313658314*
LongMessageChain,Issues,-0.0609923364131861
LongMessageChain,License,0.274465513859338*
LongMessageChain,Unit Testing,0
LongMessageChain,Contributors,0.171979806843945*
LongMethod,Stars,0.183452441686342*
LongMethod,Commits,-0.0351291909612144
LongMethod,Lines of Code,0.0507421647217542
LongMethod,Community,0.0139448179790431
LongMethod,Continuous Integration,-0.129608714878021*
LongMethod,Documentation,-0.0383349410090535
LongMethod,History,-0.248658788606833*
LongMethod,Issues,-0.0304961682065931
LongMethod,License,0.274465513859338*
LongMethod,Unit Testing,0
LongMethod,Contributors,0.154340852295848*
LongParameterList,Stars,0.183452441686342*
LongParameterList,Commits,-0.0351291909612144
LongParameterList,Lines of Code,0.0507421647217542
LongParameterList,Community,0.0139448179790431
LongParameterList,Continuous Integration,-0.129608714878021*
LongParameterList,Documentation,-0.0383349410090535
LongParameterList,History,-0.248658788606833*
LongParameterList,Issues,-0.0304961682065931
LongParameterList,License,0.274465513859338*
LongParameterList,Unit Testing,0
LongParameterList,Contributors,0.154340852295848*
LongScopeChaining,Stars,0.167839467925802*
LongScopeChaining,Commits,-0.0351291909612144
LongScopeChaining,Lines of Code,0.0663551384822939
LongScopeChaining,Community,0.0278896359580862
LongScopeChaining,Continuous Integration,-0.129608714878021*
LongScopeChaining,Documentation,-0.0383349410090535
LongScopeChaining,History,-0.260224313658314*
LongScopeChaining,Issues,-0.0609923364131861
LongScopeChaining,License,0.274465513859338*
LongScopeChaining,Unit Testing,0
LongScopeChaining,Contributors,0.171979806843945*
LongTernaryConditionalExpression,Stars,0.176592840129579*
LongTernaryConditionalExpression,Commits,-0.0353185680259159
LongTernaryConditionalExpression,Lines of Code,0.0588642800431931
LongTernaryConditionalExpression,Community,0.0210299891169834
LongTernaryConditionalExpression,Continuous Integration,-0.130307419212271*
LongTernaryConditionalExpression,Documentation,-0.0385415998703923
LongTernaryConditionalExpression,History,-0.255883157859579*
LongTernaryConditionalExpression,Issues,-0.0459908538396252
LongTernaryConditionalExpression,License,0.275945123037751*
LongTernaryConditionalExpression,Unit Testing,0
LongTernaryConditionalExpression,Contributors,0.164039906452945*
MultiplyNestedContainer,Stars,0.167839467925802*
MultiplyNestedContainer,Commits,-0.0351291909612144
MultiplyNestedContainer,Lines of Code,0.0663551384822939
MultiplyNestedContainer,Community,0.0278896359580862
MultiplyNestedContainer,Continuous Integration,-0.129608714878021*
MultiplyNestedContainer,Documentation,-0.0383349410090535
MultiplyNestedContainer,History,-0.260224313658314*
MultiplyNestedContainer,Issues,-0.0609923364131861
MultiplyNestedContainer,License,0.274465513859338*
MultiplyNestedContainer,Unit Testing,0
MultiplyNestedContainer,Contributors,0.171979806843945*